 GPU activities:   99.98%  35.322ms         1  35.322ms  35.322ms  35.322ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.98%  35.336ms         1  35.336ms  35.336ms  35.336ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.98%  35.353ms         1  35.353ms  35.353ms  35.353ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.98%  35.365ms         1  35.365ms  35.365ms  35.365ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.98%  35.380ms         1  35.380ms  35.380ms  35.380ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.99%  35.403ms         1  35.403ms  35.403ms  35.403ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.99%  39.733ms         1  39.733ms  39.733ms  39.733ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.98%  35.418ms         1  35.418ms  35.418ms  35.418ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.99%  57.769ms         1  57.769ms  57.769ms  57.769ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.99%  98.467ms         1  98.467ms  98.467ms  98.467ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.99%  176.68ms         1  176.68ms  176.68ms  176.68ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.99%  176.46ms         1  176.46ms  176.46ms  176.46ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.98%  176.66ms         1  176.66ms  176.66ms  176.66ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.97%  176.65ms         1  176.65ms  176.65ms  176.65ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.95%  188.68ms         1  188.68ms  188.68ms  188.68ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.91%  207.24ms         1  207.24ms  207.24ms  207.24ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.79%  176.95ms         1  176.95ms  176.95ms  176.95ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.78%  349.87ms         1  349.87ms  349.87ms  349.87ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.68%  1.63511s         1  1.63511s  1.63511s  1.63511s  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.63%  1.39892s         1  1.39892s  1.39892s  1.39892s  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.55%  2.44870s         1  2.44870s  2.44870s  2.44870s  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.17%  5.88934s         1  5.88934s  5.88934s  5.88934s  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.51%  9.09286s         1  9.09286s  9.09286s  9.09286s  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.59%  21.6809s         1  21.6809s  21.6809s  21.6809s  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.54%  39.4287s         1  39.4287s  39.4287s  39.4287s  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.56%  82.0060s         1  82.0060s  82.0060s  82.0060s  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.53%  153.432s         1  153.432s  153.432s  153.432s  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.50%  287.192s         1  287.192s  287.192s  287.192s  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.50%  574.195s         1  574.195s  574.195s  574.195s  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.58%  1.4e+03s         1  1.4e+03s  1.4e+03s  1.4e+03s  generatePoints(unsigned long*, unsigned long, unsigned long)
