                    0.01%  3.5840us         1  3.5840us  3.5840us  3.5840us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.01%  3.6800us         1  3.6800us  3.6800us  3.6800us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.01%  3.4560us         1  3.4560us  3.4560us  3.4560us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.01%  3.5840us         1  3.5840us  3.5840us  3.5840us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.01%  3.5840us         1  3.5840us  3.5840us  3.5840us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.01%  3.4240us         1  3.4240us  3.4240us  3.4240us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.01%  3.9360us         1  3.9360us  3.9360us  3.9360us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.01%  4.2560us         1  4.2560us  4.2560us  4.2560us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.01%  4.7360us         1  4.7360us  4.7360us  4.7360us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.01%  6.4000us         1  6.4000us  6.4000us  6.4000us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.01%  9.1840us         1  9.1840us  9.1840us  9.1840us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.01%  15.008us         1  15.008us  15.008us  15.008us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.02%  26.784us         1  26.784us  26.784us  26.784us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.03%  50.176us         1  50.176us  50.176us  50.176us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.05%  100.99us         1  100.99us  100.99us  100.99us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.09%  191.29us         1  191.29us  191.29us  191.29us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.21%  378.21us         1  378.21us  378.21us  378.21us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.22%  754.01us         1  754.01us  754.01us  754.01us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.32%  5.2437ms         1  5.2437ms  5.2437ms  5.2437ms  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.37%  5.1538ms         1  5.1538ms  5.1538ms  5.1538ms  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.45%  11.146ms         1  11.146ms  11.146ms  11.146ms  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.83%  49.234ms         1  49.234ms  49.234ms  49.234ms  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.49%  45.119ms         1  45.119ms  45.119ms  45.119ms  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.41%  90.041ms         1  90.041ms  90.041ms  90.041ms  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.45%  180.22ms         1  180.22ms  180.22ms  180.22ms  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.44%  360.46ms         1  360.46ms  360.46ms  360.46ms  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.47%  720.93ms         1  720.93ms  720.93ms  720.93ms  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.50%  1.44024s         1  1.44024s  1.44024s  1.44024s  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.50%  2.88133s         1  2.88133s  2.88133s  2.88133s  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.42%  5.76181s         1  5.76181s  5.76181s  5.76181s  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
