                    0.00%  3.4880us         1  3.4880us  3.4880us  3.4880us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.00%  3.4880us         1  3.4880us  3.4880us  3.4880us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.00%  3.4880us         1  3.4880us  3.4880us  3.4880us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.00%  3.4880us         1  3.4880us  3.4880us  3.4880us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.00%  3.4890us         1  3.4890us  3.4890us  3.4890us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.01%  3.8080us         1  3.8080us  3.8080us  3.8080us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.01%  3.6480us         1  3.6480us  3.6480us  3.6480us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.01%  4.0960us         1  4.0960us  4.0960us  4.0960us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.00%  4.7360us         1  4.7360us  4.7360us  4.7360us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.00%  6.2410us         1  6.2410us  6.2410us  6.2410us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.00%  9.2800us         1  9.2800us  9.2800us  9.2800us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.00%  15.936us         1  15.936us  15.936us  15.936us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.01%  31.872us         1  31.872us  31.872us  31.872us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.01%  55.104us         1  55.104us  55.104us  55.104us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.03%  103.01us         1  103.01us  103.01us  103.01us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.05%  200.93us         1  200.93us  200.93us  200.93us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.11%  430.40us         1  430.40us  430.40us  430.40us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.11%  847.26us         1  847.26us  847.26us  847.26us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.12%  1.9837ms         1  1.9837ms  1.9837ms  1.9837ms  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.36%  10.232ms         1  10.232ms  10.232ms  10.232ms  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.43%  22.768ms         1  22.768ms  22.768ms  22.768ms  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.43%  45.524ms         1  45.524ms  45.524ms  45.524ms  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.44%  93.344ms         1  93.344ms  93.344ms  93.344ms  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.45%  186.64ms         1  186.64ms  186.64ms  186.64ms  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.45%  377.92ms         1  377.92ms  377.92ms  377.92ms  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.45%  755.79ms         1  755.79ms  755.79ms  755.79ms  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.45%  1.51162s         1  1.51162s  1.51162s  1.51162s  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.45%  3.02315s         1  3.02315s  3.02315s  3.02315s  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.45%  6.04691s         1  6.04691s  6.04691s  6.04691s  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.45%  12.0935s         1  12.0935s  12.0935s  12.0935s  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
