 GPU activities:   99.95%  196.78ms         1  196.78ms  196.78ms  196.78ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.97%  192.23ms         1  192.23ms  192.23ms  192.23ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.97%  178.46ms         1  178.46ms  178.46ms  178.46ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.98%  176.54ms         1  176.54ms  176.54ms  176.54ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.99%  176.53ms         1  176.53ms  176.53ms  176.53ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:   99.99%  176.48ms         1  176.48ms  176.48ms  176.48ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.38ms         1  176.38ms  176.38ms  176.38ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.45ms         1  176.45ms  176.45ms  176.45ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.46ms         1  176.46ms  176.46ms  176.46ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  186.09ms         1  186.09ms  186.09ms  186.09ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.53ms         1  176.53ms  176.53ms  176.53ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.43ms         1  176.43ms  176.43ms  176.43ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.49ms         1  176.49ms  176.49ms  176.49ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.46ms         1  176.46ms  176.46ms  176.46ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.53ms         1  176.53ms  176.53ms  176.53ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.45ms         1  176.45ms  176.45ms  176.45ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.47ms         1  176.47ms  176.47ms  176.47ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  188.38ms         1  188.38ms  188.38ms  188.38ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.47ms         1  176.47ms  176.47ms  176.47ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.47ms         1  176.47ms  176.47ms  176.47ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.40ms         1  176.40ms  176.40ms  176.40ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.35ms         1  176.35ms  176.35ms  176.35ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.44ms         1  176.44ms  176.44ms  176.44ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.41ms         1  176.41ms  176.41ms  176.41ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.41ms         1  176.41ms  176.41ms  176.41ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  191.28ms         1  191.28ms  191.28ms  191.28ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  178.39ms         1  178.39ms  178.39ms  178.39ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.54ms         1  176.54ms  176.54ms  176.54ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.54ms         1  176.54ms  176.54ms  176.54ms  generatePoints(unsigned long*, unsigned long, unsigned long)
 GPU activities:  100.00%  176.44ms         1  176.44ms  176.44ms  176.44ms  generatePoints(unsigned long*, unsigned long, unsigned long)
