                    0.56%  2.0800us         1  2.0800us  2.0800us  2.0800us  [CUDA memcpy DtoH]
                    0.55%  1.8560us         1  1.8560us  1.8560us  1.8560us  [CUDA memcpy DtoH]
                    0.60%  2.0480us         1  2.0480us  2.0480us  2.0480us  [CUDA memcpy DtoH]
                    0.56%  1.8870us         1  1.8870us  1.8870us  1.8870us  [CUDA memcpy DtoH]
                    0.55%  1.8560us         1  1.8560us  1.8560us  1.8560us  [CUDA memcpy DtoH]
                    0.64%  2.1760us         1  2.1760us  2.1760us  2.1760us  [CUDA memcpy DtoH]
                    0.55%  1.8870us         1  1.8870us  1.8870us  1.8870us  [CUDA memcpy DtoH]
                    0.53%  1.8560us         1  1.8560us  1.8560us  1.8560us  [CUDA memcpy DtoH]
                    0.51%  1.8880us         1  1.8880us  1.8880us  1.8880us  [CUDA memcpy DtoH]
                    0.43%  1.9840us         1  1.9840us  1.9840us  1.9840us  [CUDA memcpy DtoH]
                    0.36%  1.9840us         1  1.9840us  1.9840us  1.9840us  [CUDA memcpy DtoH]
                    0.26%  1.9840us         1  1.9840us  1.9840us  1.9840us  [CUDA memcpy DtoH]
                    0.17%  2.0160us         1  2.0160us  2.0160us  2.0160us  [CUDA memcpy DtoH]
                    0.10%  2.0160us         1  2.0160us  2.0160us  2.0160us  [CUDA memcpy DtoH]
                    0.06%  1.9840us         1  1.9840us  1.9840us  1.9840us  [CUDA memcpy DtoH]
                    0.03%  2.1120us         1  2.1120us  2.1120us  2.1120us  [CUDA memcpy DtoH]
                    0.01%  1.9840us         1  1.9840us  1.9840us  1.9840us  [CUDA memcpy DtoH]
                    0.01%  2.0160us         1  2.0160us  2.0160us  2.0160us  [CUDA memcpy DtoH]
                    0.00%  1.9840us         1  1.9840us  1.9840us  1.9840us  [CUDA memcpy DtoH]
                    0.00%  1.9850us         1  1.9850us  1.9850us  1.9850us  [CUDA memcpy DtoH]
                    0.00%  1.8880us         1  1.8880us  1.8880us  1.8880us  [CUDA memcpy DtoH]
                    0.00%  1.8880us         1  1.8880us  1.8880us  1.8880us  [CUDA memcpy DtoH]
                    0.00%  1.8560us         1  1.8560us  1.8560us  1.8560us  [CUDA memcpy DtoH]
                    0.00%  1.8880us         1  1.8880us  1.8880us  1.8880us  [CUDA memcpy DtoH]
                    0.00%  1.8560us         1  1.8560us  1.8560us  1.8560us  [CUDA memcpy DtoH]
                    0.00%  1.9200us         1  1.9200us  1.9200us  1.9200us  [CUDA memcpy DtoH]
                    0.00%  1.8880us         1  1.8880us  1.8880us  1.8880us  [CUDA memcpy DtoH]
                    0.00%  1.9840us         1  1.9840us  1.9840us  1.9840us  [CUDA memcpy DtoH]
                    0.00%  1.8880us         1  1.8880us  1.8880us  1.8880us  [CUDA memcpy DtoH]
                    0.00%  1.9840us         1  1.9840us  1.9840us  1.9840us  [CUDA memcpy DtoH]
