                    2.73%  10.111us         1  10.111us  10.111us  10.111us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    2.74%  9.2800us         1  9.2800us  9.2800us  9.2800us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    2.74%  9.2790us         1  9.2790us  9.2790us  9.2790us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    2.73%  9.2470us         1  9.2470us  9.2470us  9.2470us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    2.74%  9.2800us         1  9.2800us  9.2800us  9.2800us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    2.72%  9.2800us         1  9.2800us  9.2800us  9.2800us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    2.73%  9.3120us         1  9.3120us  9.3120us  9.3120us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    2.64%  9.1840us         1  9.1840us  9.1840us  9.1840us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    2.49%  9.1840us         1  9.1840us  9.1840us  9.1840us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    2.21%  10.112us         1  10.112us  10.112us  10.112us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    1.82%  10.113us         1  10.113us  10.113us  10.113us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    1.35%  10.144us         1  10.144us  10.144us  10.144us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.88%  10.112us         1  10.112us  10.112us  10.112us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.52%  10.144us         1  10.144us  10.144us  10.144us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.29%  10.112us         1  10.112us  10.112us  10.112us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.15%  10.112us         1  10.112us  10.112us  10.112us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.08%  10.240us         1  10.240us  10.240us  10.240us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.04%  10.144us         1  10.144us  10.144us  10.144us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.02%  10.176us         1  10.176us  10.176us  10.176us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.01%  10.143us         1  10.143us  10.143us  10.143us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.00%  9.2480us         1  9.2480us  9.2480us  9.2480us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.00%  9.1840us         1  9.1840us  9.1840us  9.1840us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.00%  9.1830us         1  9.1830us  9.1830us  9.1830us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.00%  9.1840us         1  9.1840us  9.1840us  9.1840us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.00%  9.1840us         1  9.1840us  9.1840us  9.1840us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.00%  9.2170us         1  9.2170us  9.2170us  9.2170us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.00%  9.1840us         1  9.1840us  9.1840us  9.1840us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.00%  9.1830us         1  9.1830us  9.1830us  9.1830us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.00%  9.1840us         1  9.1840us  9.1840us  9.1840us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
                    0.00%  9.1840us         1  9.1840us  9.1840us  9.1840us  reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)
